frame,timestamp_ms,elapsed_ms,NOSE_x,NOSE_y,NOSE_z,NOSE_vis,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_INNER_vis,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_vis,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,LEFT_EYE_OUTER_vis,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_INNER_vis,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_vis,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,RIGHT_EYE_OUTER_vis,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,LEFT_EAR_vis,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,RIGHT_EAR_vis,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_LEFT_vis,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,MOUTH_RIGHT_vis,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_vis,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_vis,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_vis,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_vis,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_vis,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_vis,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,LEFT_PINKY_vis,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,RIGHT_PINKY_vis,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,LEFT_INDEX_vis,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,RIGHT_INDEX_vis,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,LEFT_THUMB_vis,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,RIGHT_THUMB_vis,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_vis,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_vis,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_vis,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_vis,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_vis,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_vis,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_vis,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_vis,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_vis,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_vis
1,1763033815384,340,0.7304203510284424,0.471876323223114,-0.39145514369010925,0.9974422454833984,0.7471950054168701,0.4036499261856079,-0.47063514590263367,0.997560977935791,0.7563515901565552,0.3991672396659851,-0.47072315216064453,0.996279776096344,0.7657505869865417,0.3944404721260071,-0.47097331285476685,0.9978837370872498,0.7350542545318604,0.4089270234107971,-0.3513401746749878,0.9973631501197815,0.7359220385551453,0.40792858600616455,-0.3508489727973938,0.9956820011138916,0.7372459173202515,0.40669339895248413,-0.35112616419792175,0.9972565770149231,0.839187741279602,0.39959537982940674,-0.6343654990196228,0.9982411861419678,0.8100330233573914,0.4094240069389343,-0.09736347198486328,0.9962643980979919,0.7661486864089966,0.5160197019577026,-0.43961402773857117,0.9979962706565857,0.7545802593231201,0.5207205414772034,-0.2851475179195404,0.996493399143219,0.9738780856132507,0.6883943676948547,-0.843241274356842,0.9806100130081177,0.86698317527771,0.7246353030204773,0.2511935234069824,0.9886496067047119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,1763033815454,409,0.7303962707519531,0.4719566941261292,-0.38265833258628845,0.997477650642395,0.7471929073333741,0.4036099791526795,-0.46205407977104185,0.9975452423095703,0.7563470721244813,0.3991528689861298,-0.46217812299728395,0.996317982673645,0.7657405853271485,0.39444032907485965,-0.4623934447765351,0.9978489279747009,0.7350548267364503,0.4087612092494965,-0.3422862350940704,0.9973947405815125,0.7359222412109375,0.4077173709869385,-0.34184033274650577,0.9958159923553467,0.7372444391250611,0.4064678192138672,-0.3421443402767182,0.9973114728927612,0.8388343453407289,0.39963674545288086,-0.6303656220436096,0.9982250928878784,0.8099043607711793,0.4094189167022705,-0.09226369112730028,0.9963987469673157,0.7661684751510621,0.5169224500656128,-0.432487690448761,0.9979465007781982,0.754554295539856,0.5213353395462037,-0.27773134410381317,0.9964714050292969,0.9754438281059266,0.6883950591087342,-0.8383735299110413,0.978996217250824,0.8671661496162415,0.7233895182609559,0.2558172404766083,0.9880660176277161,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,1763033815489,443,0.7304542303085327,0.47204716920852663,-0.37523165941238407,0.9974991679191589,0.7475523734092713,0.4033976876735688,-0.45413973212242126,0.9975144863128662,0.7567409968376161,0.39899037003517157,-0.45429327249526985,0.9963400959968567,0.7661650753021242,0.39431884169578557,-0.4544773077964784,0.9978061318397522,0.7352086472511292,0.4084124433994294,-0.33469841957092283,0.9974179863929749,0.7360000562667848,0.40735389709472664,-0.3342984545230866,0.9959288239479065,0.7372568941116334,0.40613625764846806,-0.33462222218513493,0.9973447322845459,0.838592839241028,0.3996698379516602,-0.6239004230499268,0.9981949329376221,0.8097227287292482,0.4094079005718231,-0.08820533454418183,0.9965004920959473,0.7663300991058352,0.5180784273147583,-0.425476450920105,0.997837483882904,0.7545311999320984,0.522106556892395,-0.27144916355609894,0.9963700175285339,0.9766426825523378,0.6890261816978456,-0.8301086449623108,0.9772971272468567,0.8674766325950624,0.7199084019660951,0.2597441422939301,0.9873329997062683,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,1763033815570,525,0.7301541161537171,0.47293337321281437,-0.3613668668270112,0.9975853562355042,0.7477504320144654,0.4033234603405,-0.4407503607273102,0.9975782036781311,0.757053740501404,0.3989124891757966,-0.44094375896453863,0.9964787364006042,0.7665517549514773,0.3942373099327088,-0.44110011863708504,0.9978508949279785,0.7347872271537781,0.40828098201751717,-0.32038578057289124,0.9975124001502991,0.7352582774162294,0.40723769402503973,-0.3200093569755555,0.9961270689964294,0.73614017534256,0.4060647950172425,-0.32035410046577456,0.9974480867385864,0.8382972812652589,0.39969563245773326,-0.6154314594268799,0.9982537627220154,0.8084357199668886,0.4094002857208252,-0.0763708880543709,0.9966893196105957,0.7664490032196047,0.5205214943885803,-0.4134407136440278,0.9978611469268799,0.7539695820808412,0.5242869606018067,-0.2584418535232544,0.9964069724082947,0.9778846735954285,0.6893413581848146,-0.8226791877746583,0.9766574501991272,0.8673552079200746,0.718411183834076,0.27175802373886115,0.9865996837615967,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,1763033815682,637,0.7298229727745057,0.4740677526473999,-0.35388731265068063,0.997692883014679,0.7478908544540407,0.40334559378623974,-0.43358145971298223,0.997663140296936,0.7573094786643984,0.3989080069541932,-0.43379128279685986,0.9966316223144531,0.7669359859466556,0.3942016603469849,-0.4339364096164704,0.9979089498519897,0.7341670763015747,0.40830088729858405,-0.31277880997657775,0.9976276755332947,0.7342069118499758,0.4073082151889802,-0.3124117960453034,0.9963393807411194,0.734562980079651,0.40620389108657845,-0.31276615571975713,0.9975653290748596,0.838018527507782,0.39972182917594923,-0.6095795048713685,0.9983264803886414,0.806797573375702,0.4094069790363312,-0.06974949735403062,0.9968944191932678,0.7665375819206239,0.5230821034431458,-0.40674289612770087,0.9979264140129089,0.7531785266876222,0.5267093102455139,-0.2512373799085617,0.9965382218360901,0.9790758439064027,0.6896489316940309,-0.8181186047554018,0.9756816029548645,0.8672591529846193,0.7168869070053102,0.2793429166793824,0.9865778088569641,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,1763033815778,733,0.7294544532775881,0.4757942657375336,-0.3485239152431489,0.9977453947067261,0.7479074435043336,0.403692246656418,-0.4283914412593842,0.9976833462715149,0.7574988342475893,0.3991916380786897,-0.4286186301898957,0.9967020153999329,0.7672518822860721,0.3944063021278382,-0.428749632806778,0.9979103207588196,0.733331590614319,0.4087085570907594,-0.30751443649291993,0.9976829886436462,0.7329020356559756,0.4078172042274476,-0.30716177502632147,0.9964761734008789,0.7327019587707521,0.4068287454032899,-0.3075299013614655,0.9976258873939514,0.8377769874572756,0.39995299425125136,-0.60534651386261,0.9983479380607605,0.8047970012092592,0.409655949792862,-0.06559095346331598,0.9970374703407288,0.7665891210556032,0.5260091512298584,-0.40162542699813847,0.9979249238967896,0.7522770800018312,0.5296317990875244,-0.24616324198246003,0.9965625405311584,0.9800317842292787,0.689989451942444,-0.8114892623710633,0.9746283292770386,0.8671279615211489,0.7157120936584473,0.28411169415473947,0.9861495494842529,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,1763033815874,829,0.7291587316894532,0.47767579759788514,-0.3449297252750398,0.9978682398796082,0.7478878725852967,0.40429093335533156,-0.4250988479881287,0.9978026747703552,0.7576386362037661,0.3997439008922578,-0.42533659173583993,0.996887743473053,0.767503609920502,0.3949145244388581,-0.4254599129924775,0.9980080127716064,0.7326377270393373,0.4093370672874452,-0.3043079435424805,0.9978110194206238,0.7318549994964602,0.4085297679347993,-0.30395886047172554,0.9966878890991211,0.7312483084640504,0.4076268904991151,-0.30433353574752814,0.9977516531944275,0.8376179327201845,0.4005284619045259,-0.6026443466148377,0.9984496235847473,0.8032366097183229,0.41000717784690865,-0.06261041761159898,0.9972413182258606,0.7666353472328188,0.5288158248977661,-0.39795575927925114,0.9980388879776001,0.7515436798591616,0.5323584720497132,-0.24282993409633638,0.9967554211616516,0.9806531038703921,0.690474549434662,-0.8053270881881716,0.9751563668251038,0.8668608121910097,0.7137432045516969,0.2871084218482972,0.9864601492881775,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,1763033815970,925,0.7290532727165223,0.4778285042892456,-0.3396676364307405,0.9979404807090759,0.7479867044517517,0.4040566237327577,-0.4194409939788819,0.9978612661361694,0.7578529381530765,0.3996754417396547,-0.41968246685295113,0.9970052242279053,0.7678057596405032,0.39499679341545113,-0.41979719327049264,0.9980542659759521,0.7322639773506167,0.40889170859756485,-0.29993550655021667,0.9978876709938049,0.7312315062156679,0.40817463560447703,-0.2995933810352326,0.9968386292457581,0.7303232941978456,0.40739454099235545,-0.2999693198337555,0.9978312253952026,0.8376861325607301,0.400988454557419,-0.5957779585998535,0.9984976649284363,0.8023437309432986,0.41010007783355723,-0.06087746844267847,0.9973922967910767,0.7667618543510439,0.5302005800498963,-0.39190242800102243,0.9980619549751282,0.7509857011047366,0.5332831418518067,-0.2386861774015427,0.9968352317810059,0.9803882810928347,0.6911967114624025,-0.7947840337364198,0.9745869636535645,0.8665026706726077,0.7096065478942872,0.2892689828285218,0.9865138530731201,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,1763033816081,1037,0.7305271140037538,0.4762119425495911,-0.3297105338386537,0.9980982542037964,0.7496080162866211,0.4024480701730348,-0.4077150299662782,0.9980122447013855,0.7594577879728702,0.39820124344642654,-0.4079423378851319,0.9972489476203918,0.7694278633848575,0.393626565811081,-0.40803801120246896,0.9981907606124878,0.7338535626902772,0.4072151131987764,-0.29176964900314334,0.9980524778366089,0.73270630482605,0.4066501988056947,-0.29150497273437503,0.9971086978912354,0.7315998271269227,0.40607602412460336,-0.2918703590499878,0.9980021715164185,0.839472660359192,0.40018107488708515,-0.5786601900801086,0.9986099004745483,0.8030099311009219,0.40976143896247874,-0.059720209990549104,0.9976263642311096,0.7682185292724613,0.5300598337565614,-0.37976864268768323,0.998153567314148,0.7521204981968691,0.5328222255709839,-0.23137499949836735,0.9969948530197144,0.9790362694627384,0.6918685806605531,-0.7764754489587403,0.974459707736969,0.8695820198274233,0.7060600795286561,0.29058834705421455,0.9866988658905029,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,1763033816177,1133,0.7336522310017396,0.47350819096250923,-0.31181041150981914,0.9981628060340881,0.7527510812078553,0.3992411411798555,-0.3889957308383333,0.9980142116546631,0.7625782895900273,0.39507787932249466,-0.3892044827100678,0.9973410367965698,0.7726539712155459,0.39054649080995185,-0.38929715634127815,0.9981641173362732,0.7369923941433107,0.40397103608132945,-0.2759599142584763,0.9981072545051575,0.7357854814829103,0.40347465738325516,-0.27578366482919314,0.997255265712738,0.7345606720576784,0.40305946679876714,-0.2761577425136185,0.9980673789978027,0.8430153202505495,0.3975694755312349,-0.5570078968799133,0.9986217021942139,0.8065668732750553,0.4077164134952699,-0.05245961077877523,0.9977874159812927,0.7714931464579776,0.5286747371605837,-0.3603738927077333,0.9981541037559509,0.7551711824548952,0.5312243970873414,-0.215916888407898,0.99704909324646,0.9782353980355534,0.6926024614026796,-0.7545477664889223,0.9728690981864929,0.8743861973934635,0.7011841041197511,0.2939842505746613,0.9873371720314026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
